//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR32/data-final/CHIMIE/PIRATA-FR32_CHIMIE_odv.txt
//Data treated : 2025-01-14T11:24:17
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR32/data-final/CHIMIE/PIRATA-FR32_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		 198.0	 5	35.4095	2.639	114.86	 0.02	 20.787	20.770	  1.37	 6.99																											13.8973	7.6900	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		 297.0	 4	35.2523	1.508	 65.64	 0.02	 28.519	28.503	  1.80	10.48																											12.4208	7.5653	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		 396.0	 3	35.1032	0.993	 43.22	 0.01	 34.082	34.069	  2.12	13.62																											10.7325	7.4848	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		 396.0	 2	35.1033	0.986	 42.90	 0.01	 34.463	34.451	  2.12	13.57																											10.7002	7.4833	25.0000		
PIRATA-FR32	st003c01	B	2022-03-04T23:37:49z	 -19.451	 +8.499		 497.0	 1	35.0037	0.981	 42.67	 0.01	 36.760	36.752	  2.30	16.41																											9.3723	7.4568	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		   3.0	18									0.0036	0.0098	0.0129	0.0073	0.0086			0.0035	0.0240	0.0070	0.0062			0.1052		0.0075	0.0121	0.0196	0.0222			0.0889	0.1185	0.2074	0.0031		25.8681		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		   3.0	17	35.7679	4.620	201.53	 0.01	  0.094	0.088	  0.03	 0.95																											25.8756	8.0518	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		   8.0	16				 0.00	  0.027	0.023	  0.02	 0.93	0.0038	0.0097	0.0113	0.0075	0.0046			0.0022	0.0257	0.0040	0.0052			0.1223		0.0086	0.0108	0.0194	0.0252			0.1059	0.1230	0.2289	0.0027		25.8733		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  12.0	15	35.7678	4.626	201.82	 0.00	  0.109	0.105	  0.03	 0.96	0.0039	0.0102	0.0152	0.0093	0.0093			0.0027	0.0266	0.0050	0.0060			0.1190		0.0086	0.0126	0.0212	0.0252			0.1011	0.1337	0.2348	0.0029		25.8697	8.0475	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  22.0	14	35.7684	4.618	201.46	 0.00	 -0.002	-0.004	  0.02	 0.97	0.0037	0.0140	0.0135	0.0088	0.0091			0.0021	0.0259	0.0066	0.0098			0.1157		0.0086	0.0106	0.0192	0.0240			0.0987	0.1268	0.2255	0.0025		25.8811		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  32.0	13				 0.01	  0.067	0.055	  0.05	 1.72	0.0195	0.0302	0.0252	0.0244	0.0168	0.0029		0.0083	0.0742	0.0070	0.0166	0.0035		0.2109		0.0241	0.0417	0.0658	0.0517			0.1742	0.2940	0.4682	0.0050		23.6230		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  42.0	12	35.8740	3.145	137.01	 0.23	  7.305	7.072	  0.49	 2.96	0.0523	0.0488	0.0360	0.0500	0.0389	0.0163	0.0116	0.0068	0.1137	0.0073	0.0180	0.0087		0.0967		0.0548	0.1674	0.2222	0.0530			0.1353	0.4391	0.5744	0.0074		20.1021	7.8265	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  51.0	11				 0.39	 15.185	14.797	  0.95	 3.78	0.0594	0.0513	0.0412	0.0561	0.0570	0.0181	0.0227	0.0071	0.0867	0.0153	0.0167	0.0118		0.0594		0.0666	0.1908	0.2574	0.0443			0.0964	0.4603	0.5567	0.0065		18.7185		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  62.0	10	35.7961	2.069	 90.10	 0.27	 17.484	17.219	  1.07	 4.26	0.0449	0.0345	0.0154	0.0426	0.0397	0.0105	0.0131	0.0034	0.0607	0.0085	0.0105	0.0089		0.0445		0.0681	0.1103	0.1784	0.0328			0.0747	0.2789	0.3536	0.0042		18.0952	7.7139	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  71.0	 9				 0.15	 18.867	18.721	  1.18	 5.02	0.0484	0.0338	0.0128	0.0434	0.0449	0.0066	0.0066	0.0022	0.0686	0.0036	0.0102	0.0071		0.0408		0.1163	0.0508	0.1671	0.0367			0.0818	0.2416	0.3234	0.0043		17.1201		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  81.0	 8	35.7024	2.551	111.07	 0.09	 17.896	17.809	  1.17	 5.39	0.0360	0.0217	0.0054	0.0349	0.0316	0.0051	0.0033	0.0014	0.0535		0.0080	0.0021		0.0243		0.1006	0.0341	0.1347	0.0301			0.0654	0.1554	0.2208	0.0031		16.5435		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  91.0	 7				 0.05	 19.878	19.829	  1.29	 5.80	0.0282	0.0176	0.0046	0.0300	0.0237	0.0046	0.0022		0.0436		0.0068	0.0012		0.0177		0.0945	0.0289	0.1234	0.0276			0.0562	0.1214	0.1776	0.0033		16.0536		25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		  99.0	 6	35.6111	2.112	 91.93	 0.04	 21.379	21.343	  1.38	 6.15	0.0180	0.0117	0.0023	0.0219	0.0137	0.0046	0.0011	0.0009	0.0308		0.0055			0.0100		0.0708	0.0268	0.0976	0.0196			0.0377	0.0798	0.1175	0.0023		15.6382	7.6795	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		 197.0	 5	35.3842	2.525	109.88	 0.02	 21.554	21.537	  1.41	 7.39																											13.7027	7.6740	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		 298.0	 4	35.2126	1.305	 56.79	 0.01	 30.041	30.029	  1.88	11.19																											11.9656	7.5370	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		 298.0	 3	35.2121	1.319	 57.37	 0.01	 30.174	30.163	  1.89	11.16																											11.9684	7.5360	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		 398.0	 2	35.0536	0.961	 41.80	 0.01	 35.539	35.529	  2.19	14.82																											10.0474	7.4707	25.0000		
PIRATA-FR32	st004c01	B	2022-03-05T04:57:11z	 -18.852	 +8.001		 498.0	 1	34.8728	1.363	 59.28	 0.01	 36.820	36.811	  2.33	17.90																											8.4713	7.4656	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		   3.0	14				-0.00	  0.016	0.019	  0.02	 0.76																											29.6675		25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		   3.0	13	34.5010	4.473	195.55																																29.6011	8.0852	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		  22.0	12	35.2160	4.619	201.75	-0.00	  0.077	0.081	  0.04	 0.80																											28.3918		25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		  42.0	11	35.8242	4.082	178.00	 0.04	  0.721	0.678	  0.22	 1.65																											23.2094	7.9350	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		  42.0	10																																			23.1937		25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		  62.0	 9	35.8163	2.962	128.99	 0.38	 13.797	13.413	  0.95	 3.81																											17.6312	7.7832	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		  82.0	 8	35.7498	2.947	128.33	 0.07	 15.720	15.646	  1.07	 5.13																											16.6736		25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		 100.0	 7	35.6960	2.818	122.69	 0.05	 16.864	16.817	  1.14	 5.52																											16.2341	7.7452	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		 149.0	 6	35.5159	2.494	108.56	 0.01	 20.362	20.352	  1.35	 7.06																											14.7530	7.6981	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		 200.0	 5	35.4434	1.938	 84.36	 0.00	 23.735	23.732	  1.53	 8.30																											14.1735	7.6366	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		 199.0	 4	35.4437	1.950	 84.87	 0.00	 23.850	23.846	  1.53	 8.29																											14.1733	7.6372	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		 299.0	 3	35.0076	2.296	 99.90	 0.01	 28.408	28.399	  1.80	12.33																											10.6322	7.5834	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		 398.0	 2	34.7836	2.346	102.06	 0.01	 32.075	32.068	  2.02	15.92																											8.7411	7.5400	25.0000		
PIRATA-FR32	st005c01	B	2022-03-07T16:17:21z	 -10.000	 +1.500		 499.0	 1	34.6540	2.763	120.20	 0.00	 33.089	33.087	  2.10	18.90																											7.4707	7.5493	25.0000		
PIRATA-FR32	st006c01	B	2022-03-07T20:42:06z	 -10.001	 +1.001		   2.0	13									0.0054	0.0066	0.0036	0.0044	0.0042			0.0009	0.0191		0.0101			0.1411		0.0067	0.0077	0.0144	0.0174			0.0593	0.0609	0.1202	0.0013		29.6444		25.0000		
PIRATA-FR32	st006c01	B	2022-03-07T20:42:06z	 -10.001	 +1.001		   1.0	12	34.3516	4.473	195.59	 0.00	  0.002	0.002	  0.03	 0.78																											29.6281	8.0747	25.0000		
PIRATA-FR32	st006c01	B	2022-03-07T20:42:06z	 -10.001	 +1.001		  20.0	11	35.3757	4.604	201.09	-0.00	 -0.029	-0.027	  0.06	 0.80	0.0066	0.0083	0.0058	0.0049	0.0055				0.0220		0.0088			0.1494		0.0091	0.0096	0.0187	0.0203			0.0811	0.0619	0.1430	0.0016		28.5294		25.0000		
PIRATA-FR32	st006c01	B	2022-03-07T20:42:06z	 -10.001	 +1.001		  40.0	10	36.0585	3.659	159.47	 0.14	  5.041	4.901	  0.44	 2.48	0.0760	0.0578	0.0141	0.0792	0.0448	0.0131	0.0118	0.0072	0.2007		0.0186	0.0037		0.1001		0.0613	0.1191	0.1804	0.0466			0.1289	0.4407	0.5696	0.0076		22.4663	7.9058	25.0000		
PIRATA-FR32	st006c01	B	2022-03-07T20:42:06z	 -10.001	 +1.001		  60.0	 9	35.9126	3.080	134.20	 0.22	 11.059	10.841	  0.77	 3.60	0.0742	0.0449	0.0092	0.0785	0.0501	0.0204	0.0270	0.0078	0.1387	0.0125	0.0145	0.0041		0.0374		0.0607	0.1713	0.2320	0.0343			0.0671	0.4479	0.5150	0.0069		19.8507	7.8297	25.0000		
PIRATA-FR32	st006c01	B	2022-03-07T20:42:06z	 -10.001	 +1.001		  80.0	 8	35.7261	2.794	121.65	 0.14	 15.820	15.683	  1.08	 4.25	0.0376	0.0184	0.0055	0.0534	0.0214	0.0075	0.0061	0.0021	0.0601	0.0048	0.0083	0.0018		0.0242		0.0818	0.0589	0.1407	0.0276			0.0616	0.1844	0.2460	0.0035		17.0054		25.0000		
