//ODV Spreadsheet file : \\iota1\irdcampagnes\PIRATA\PIRATA-DATA\CHEMISTRY-PIRATA\BTL\XLS\PIRATAFR15-EGEE3_CHIMIE_odv.txt
//Data treated : 2022-01-20T14:34:02
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>\\iota1\irdcampagnes\PIRATA\PIRATA-DATA\CHEMISTRY-PIRATA\BTL\XLS\PIRATAFR15-EGEE3_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		 500.0	12	 34.654	2.438	106.10	 0.00		34.035	  2.21	19.51																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		 750.0	11	 34.505	3.360	146.20	 0.00		34.749	  2.26	28.23																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1001.0	10	 34.611	3.518	153.00	 0.00		33.303	  2.24	30.63																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 9	 34.612	3.517	153.00	 0.00		33.371	  2.22	30.58																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 8		3.521	153.10	 0.00		33.029	  2.23	30.18																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 7	 34.611	3.521	153.10	 0.00		33.293	  2.27	30.45																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 6	 34.613	3.500	152.20	 0.00		33.351	  2.25	30.63																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 5	 34.614	3.515	152.90	 0.00		33.342	  2.26	30.59																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 4	 34.611	3.516	152.90	 0.00		33.488	  2.26	30.54																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 3	 34.612	3.526	153.30	 0.00		33.361	  2.26	30.37																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 2	 34.609	3.521	153.10	 0.00		33.479	  2.25	30.64																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		1003.0	 1	 34.613	3.512	152.70	 0.00		32.332	  2.20	29.88																										
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			22																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			21																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			20																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			19																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			18																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			17																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			16																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			15																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			14																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			13																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			12																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			11																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			10																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			 9																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028			 8																																		
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028		   0.0	 7				 0.02		0.003	  0.06	 1.35																										
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028		   0.0	 6				 0.01		0.009	  0.06	 1.38																										
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028		  30.0	 5				 0.01		0.021	  0.07	 1.46																										
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028		  30.0	 4				 0.01		0.033	  0.08	 1.47																										
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028		  50.0	 3				 0.06		0.922	  0.25	 2.21																										
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028		  50.0	 2				 0.08		1.337	  0.30	 2.35																										
EGEE 3	st002c01	B	2006-05-29T12:30:00z	  +0.008	 +0.028		 104.0	 1				 0.08		12.539	  0.91	 4.71																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008			22																																		
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008			21																																		
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008			20																																		
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		   2.0	19	 35.352	4.554	198.80	 0.00		0.000	  0.05	 1.27																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		  10.0	18	 35.352	4.556	198.90	 0.00		0.000	  0.05	 1.28																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		  20.0	17	 35.401	4.528	197.60	 0.00		0.020	  0.04	 1.37																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		  39.0	16	 35.966	3.514	153.10	 0.31		6.329	  0.52	 3.08																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		  60.0	15	 35.946	3.342	145.60	 0.23		10.820	  0.75	 4.03																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		  80.0	14	 35.810	3.555	154.80	 0.09		11.688	  0.81	 4.41																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		  99.0	13	 35.673	3.237	140.90	 0.03		14.702	  0.98	 5.35																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		 134.0	12	 35.575	3.338	145.30	 0.01		15.194	  1.03	 5.61																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		 159.0	11	 35.535	3.301	143.70	 0.00		15.789	  1.05	 5.74																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		 300.0	10	 34.977	1.658	 72.20	 0.00		31.981	  1.90	13.33																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		 499.0	 9	 34.638	2.519	109.60	 0.00		34.786	  2.16	20.21																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		 799.0	 8	 34.517	3.436	149.40	 0.00		34.807	  2.25	29.37																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		 998.0	 7	 34.613	3.514	152.80	 0.00		33.759	  2.22	30.23																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		1198.0	 6	 34.803	4.085	177.60	 0.00		29.001	  1.94	25.70																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		1399.0	 5	 34.925	4.803	208.80	 0.00		24.263	  1.63	20.47																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		1600.0	 4	 34.973	5.411	235.20	 0.00		21.242	  1.44	18.04																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		1800.0	 3	 34.978	5.553	241.40	 0.00		20.539	  1.39	17.87																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		2010.0	 2	 34.957	5.626	244.60	 0.00		20.843	  1.40	23.28																										
EGEE 3	st003c01	B	2006-05-30T05:00:00z	  +0.026	 +0.008		2010.0	 1	 34.956	5.638	245.10	 0.00		20.824	  1.41	23.63																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		   1.0	22	 34.710	4.498	196.50	 0.05		0.000	  0.00	 1.00																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		  10.0	21	 34.711	4.498	196.50	 0.07		0.001	  0.00	 0.87																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		  20.0	20	 34.714	4.493	196.30	 0.07		0.021	  0.00	 0.78																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		  40.0	19	 35.828	4.203	183.30	 0.12		0.778	  0.21	 1.87																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		  60.0	18	 35.675	2.908	126.70	 0.13		15.989	  1.03	 5.15																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		  79.0	17	 35.554	2.881	125.50	 0.10		17.472	  1.16	 6.18																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		  99.0	16	 35.504	3.141	136.80	 0.07		16.735	  1.13	 6.16																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		 130.0	15	 35.469	2.786	121.40	 0.06		18.839	  1.23	 6.82																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		 160.0	14	 35.436	2.524	110.00	 0.05		20.310	  1.35	 7.42																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		 300.0	13	 35.033	1.828	 79.60	 0.04		29.438	  1.84	12.32																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		 499.0	12	 34.636	2.542	110.60	 0.04		34.175	  2.21	20.35																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		 799.0	11	 34.538	3.195	139.00	 0.03		34.628	  2.30	27.52																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		 998.5	10	 34.640	3.596	156.50	 0.03		32.535	  2.23	29.60																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		1197.0	 9	 34.791	3.972	172.80	 0.03		29.056	  2.01	25.62																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		1399.0	 8	 34.950	5.009	217.90	 0.02		22.718	  1.59	18.94																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		1498.0	 7	 34.965	5.235	227.70	 0.02		21.488	  1.51	17.90																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		1598.0	 6	 34.974	5.395	234.70	 0.01		20.731	  1.50	17.34																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		1699.0	 5	 34.976	5.529	240.50	 0.01		20.237	  1.46	17.62																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		1800.0	 4	 34.971	5.508	239.60	 0.01		20.425	  1.47	18.83																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		1899.0	 3	 34.967	5.607	243.90	 0.00		20.273	  1.43	20.05																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		2002.0	 2	 34.966	5.631	244.90	 0.00		20.118	  1.41	20.49																										
EGEE 3	st004c01	B	2006-06-01T11:30:00z	 -10.005	 +1.500		2002.0	 1	 34.966	5.631	244.80	 0.00		20.238	  1.44	20.99																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		   0.7	22	 34.897	4.557	199.00	 0.01		0.021	  0.01	 0.66																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		   9.0	21	 34.897	4.552	198.80	 0.00		0.000	  0.00	 0.73																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		  18.0	20	 34.898	4.551	198.80	 0.01		0.059	  0.00	 0.72																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		  39.0	19	 35.762	3.540	154.20	 0.29		7.468	  0.58	 2.76																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		  60.0	18	 35.636	2.715	118.20	 0.10		17.275	  1.10	 5.21																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		  79.0	17	 35.556	2.572	112.00	 0.05		19.248	  1.25	 6.26																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		  99.0	16	 35.501	2.961	129.00	 0.03		17.739	  1.19	 6.17																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		 130.0	15	 35.464	2.842	123.80	 0.02		18.812	  1.23	 6.58																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		 159.8	14	 35.435	3.048	132.70	 0.01		19.815	  1.31	 6.95																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		 299.0	13	 34.984	2.195	 95.60	 0.01		28.524	  1.88	11.92																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		 499.0	12	 34.629	2.641	114.90	 0.01		33.967	  2.28	20.15																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		 799.0	11	 34.533	3.300	143.60	 0.01		34.288	  2.31	27.05																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		 998.0	10	 34.600	3.562	155.00	 0.01		33.512	  2.27	29.89																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1198.0	 9	 34.789	4.087	177.80	 0.00		28.737	  1.95	24.97																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1399.0	 8	 34.941	5.043	219.40	 0.00		23.099	  1.56	18.81																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1500.0	 7	 34.959	5.202	226.30	 0.00		21.789	  1.46	17.80																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1599.0	 6	 34.971	5.344	232.50	 0.00		21.006	  1.40	17.17																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1699.0	 5	 34.976	5.535	240.80	 0.00		20.146	  1.32	16.84																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1800.0	 4	 34.974	5.570	242.40	 0.00		19.953	  1.33	17.61																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1900.0	 3	 34.966	5.625	244.70	 0.00		20.188	  1.34	19.98																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		1900.0	 2	 34.965	5.624	244.70	 0.00		20.179	  1.31	19.92																										
EGEE 3	st005c01	B	2006-06-01T20:30:00z	 -10.010	 +1.011		2002.0	 1	 34.964	5.670	246.80	 0.00		19.836	  1.24	20.44																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		   1.0	22	 35.158	4.623	201.80	 0.00		0.036	  0.05	 0.72																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		  10.0	21	 35.157	4.544	198.40	 0.01		0.074	  0.04	 0.69																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		  20.0	20	 35.192	4.548	198.60	 0.02		0.021	  0.03	 0.71																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		  40.0	19	 35.775	4.186	182.50	 0.13		1.279	  0.25	 1.67																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		  60.0	18	 35.757	2.418	105.40	 0.12		17.014	  1.11	 4.90																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		  80.0	17	 35.676	3.257	141.90	 0.06		14.588	  1.02	 5.04																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		 100.0	16	 35.550	2.369	103.20	 0.06		20.045	  1.35	 6.72																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		 130.0	15	 35.497	2.471	107.60	 0.04		20.028	  1.39	 6.93																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		 159.0	14	 35.433	2.688	117.10	 0.04		19.683	  1.36	 7.05																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		 301.0	13	 34.954	2.446	106.50	 0.03		27.691	  1.80	12.24																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		 501.0	12	 34.589	2.936	127.80	 0.03		33.186	  2.19	20.87																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		 800.0	11	 34.512	3.403	148.20	 0.02		34.327	  2.28	28.43																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1000.0	10	 34.574	3.539	154.00	 0.02		33.699	  2.31	30.82																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1200.0	 9	 34.814	4.158	180.90	 0.02		28.106	  1.97	24.81																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1400.0	 8	 34.943	4.972	216.30	 0.02		22.729	  1.64	19.13																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1500.0	 7	 34.960	5.178	225.30	 0.01		21.849	  1.59	18.20																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1599.0	 6	 34.977	5.435	236.40	 0.01		20.397	  1.51	17.12																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1700.0	 5	 34.978	5.537	240.80	 0.00		20.185	  1.48	17.14																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1800.0	 4	 34.974	5.578	242.60	 0.01		20.113	  1.45	16.95																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1800.0	 3	 34.974	5.570	242.30	 0.01		20.134	  1.45	18.05																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		1900.0	 2	 34.969	5.617	244.30	 0.00		20.076	  1.44	19.21																										
EGEE 3	st006c01	B	2006-06-02T02:30:00z	 -10.004	 +0.501		2001.0	 1	 34.963	5.653	245.80	 0.00		20.097	  1.45	21.20																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		   0.6	22	 35.585	4.546	198.40	 0.00		0.067	  0.05	 1.14																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		  10.0	21	 35.559	4.592	200.40	 0.01		0.040	  0.03	 1.11																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		  18.0	20	 35.589	4.548	198.50	 0.01		0.038	  0.03	 1.13																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		  39.0	19	 36.035	4.175	182.00	 0.08		1.793	  0.20	 1.89																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		  59.0	18	 35.920	3.514	153.10	 0.08		11.127	  0.73	 3.84																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		  78.0	17	 35.559	3.648	158.90	 0.03		13.310	  0.89	 4.88																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		  99.0	16	 35.552	3.593	156.50	 0.02		14.004	  0.95	 5.06																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		 129.0	15	 35.513	3.512	153.00	 0.02		14.796	  0.99	 5.31																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		 158.0	14	 35.459	2.990	130.20	 0.02		17.905	  1.19	 6.28																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		 300.0	13	 34.914	2.599	113.10	 0.01		27.691	  1.71	12.00																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		 499.0	12	 34.615	2.851	124.10	 0.01		33.069	  2.09	19.09																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		 799.0	11	 34.505	3.459	150.50	 0.01		34.088	  2.26	28.29																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		 999.0	10	 34.574	3.489	151.80	 0.01		33.727	  2.24	29.61																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1200.0	 9	 34.815	4.166	181.20	 0.01		27.864	  1.90	23.98																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1400.0	 8	 34.940	4.958	215.60	 0.01		23.031	  1.59	18.79																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1497.0	 7	 34.978	5.152	224.10	 0.00		21.867	  1.50	17.76																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1600.0	 6	 34.976	5.494	238.90	 0.00		20.459	  1.42	16.82																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1699.0	 5	 34.976	5.548	241.30	 0.00		20.106	  1.41	16.74																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1699.0	 4	 34.976	5.574	242.30	 0.00		20.155	  1.42	16.90																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1799.0	 3	 34.970	5.610	243.90	 0.00		19.913	  1.40	17.87																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		1998.0	 2	 34.966	5.641	245.30	 0.01		20.120	  1.39	19.37																										
EGEE 3	st007c01	B	2006-06-02T08:00:00z	  -9.997	 -0.002		2012.0	 1	 34.961	5.666	246.30	 0.01		20.144	  1.40	21.09																										
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			22																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			21																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			20																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			19																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			18																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			17																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031		   0.0	16				 0.01		0.085	  0.04	 1.17																										
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			15																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			14																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			13																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031		  20.0	12				 0.01		0.232	  0.12	 1.37																										
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			11																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			10																																		
EGEE 3	st008c01	B	2006-06-02T14:30:00z	  -9.904	 +0.031			 9																																		
