//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR33/data-final/CHIMIE/PIRATA-FR33_CHIMIE_odv.txt
//Data treated : 2025-01-14T11:21:11
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR33/data-final/CHIMIE/PIRATA-FR33_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 7																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 6																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	 5																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 4																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 3																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 2																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 1																																			2.3730				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		   2.0	21																																			25.2470				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		   1.0	20	35.5732	4.736	206.57	 0.01	  0.012	-0.001	  0.03	 1.24	0.0029	0.0066	0.0018	0.0051	0.0056				0.0156		0.0058			0.0805		0.0789	0.0134	0.0923	0.0133			0.0532	0.0487	0.1019	0.0012		25.2470	8.0550	25.0000	2316.1110	
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  20.0	19	35.5743	4.732	206.39	 0.01	  0.003	-0.007	  0.04	 1.24	0.0051	0.0071	0.0024	0.0053	0.0051				0.0170	0.0027	0.0059			0.0847		0.0068	0.0057	0.0126	0.0136			0.0549	0.0589	0.1138	0.0031		25.1800	8.0510	25.0000	2324.9880	
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  29.0	18																																			25.1190				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  41.0	17																																			25.0980				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  41.0	16	35.5774	4.746	207.01	 0.01	  0.016	0.004	  0.05	 1.35	0.0095	0.0120	0.0072	0.0093	0.0070				0.0319	0.0026	0.0067			0.0741		0.0054	0.0049	0.0104	0.0159			0.0604	0.0905	0.1509	0.0018		25.0980	8.0500	25.0000	2331.3520	
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  50.0	15																																			20.5780				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  50.0	14																																			20.7740				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  50.0	13	35.8203	4.332	188.78	 0.01	  0.148	0.138	  0.14	 2.57	0.0416	0.0447	0.0233	0.0423	0.0191	0.0017	0.0055	0.0056	0.1174		0.0176	0.0025		0.1066		0.0147	0.0528	0.0675	0.0364			0.1010	0.3258	0.4267	0.0059		20.9930	7.9180	25.0000	2352.9900	
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  60.0	12																																			18.8930				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  70.0	11																																			16.7800				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  70.0	10																																			16.5380				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  80.0	 9																																			14.9300				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		  80.0	 8	35.5261	1.667	 72.58	 0.05	 24.412	24.363	  1.56	 7.20	0.0360	0.0194		0.0395	0.0192	0.0023	0.0036		0.0498		0.0044	0.0015		0.0089		0.0761	0.0217	0.0979	0.0199		0.0020	0.0413	0.1236	0.1649	0.0031		14.8890				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		 100.0	 7																																			14.3000				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		 100.0	 6	35.4668	1.828	 79.59	 0.03	 24.445	24.415	  1.57	 7.60	0.0184	0.0090		0.0203	0.0087		0.0014		0.0308		0.0022			0.0027		0.0345	0.0088	0.0433	0.0097			0.0161	0.0602	0.0763	0.0020		14.3040	7.6230	25.0000	2319.4100	
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		 121.0	 5																																			13.6960				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		 168.0	 4																																			12.8380				
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		 300.0	 3	35.1364	1.671	 72.74	 0.01	 29.867	29.855	  1.86	11.53																											11.2840	7.5520	25.0000	2308.4360	
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		 499.0	 2	35.0953	1.012	 44.03	 0.01	 35.651	35.635	  2.17	15.47																											9.7790	7.4770	25.0000	2303.7820	
PIRATA-FR33	st003c01	B	2023-03-07T00:16:19z	 -22.971	+11.465		1953.0	 1	34.9680	5.446	236.76	 0.01	 21.080	21.067	  1.39	21.56																											3.6060	7.7210	25.0000	2315.1140	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		   1.0	22																																			26.6100				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		   1.0	21																																			26.6080				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		   1.0	20	35.6534	4.669	203.76	 0.01	  0.009	0.003	  0.01	 1.14	0.0141	0.0235	0.0170	0.0123	0.0115			0.0025	0.0507	0.0022	0.0078		0.0017	0.0692		0.0071	0.0160	0.0230	0.0188			0.0738	0.1718	0.2456	0.0069		26.6070	8.0560	25.0000	2329.5120	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  19.0	19																																			25.2800				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  19.0	18	35.6530	4.545	198.25	 0.01	  0.000	-0.010	  0.02	 1.55	0.0216	0.0286	0.0196	0.0170	0.0157			0.0039	0.0670		0.0097	0.0024		0.0768		0.0081	0.0183	0.0264	0.0233			0.0908	0.1968	0.2875	0.0028		25.0140	8.0150	25.0000	2333.9950	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  30.0	17																																			21.1880				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  40.0	16																																			19.2800				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  40.0	15																																			19.2820				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  40.0	14	35.8392	2.891	125.96	 0.23	 10.490	10.259	  0.65	 3.46	0.0669	0.0460	0.0118	0.0616	0.0543	0.0154	0.0249	0.0055	0.1052	0.0121	0.0113	0.0039		0.0215		0.0204	0.1326	0.1530	0.0215			0.0441	0.3825	0.4266	0.0053		19.2810	7.7960	25.0000	2353.6410	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  50.0	13																																			17.4590				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  58.0	12																																			16.9650				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  63.0	11																																			17.1260				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  63.0	10	35.7305	1.951	 84.94	 0.25	 19.465	19.218	  1.21	 5.00	0.0597	0.0393	0.0111	0.0444	0.0531	0.0108	0.0174	0.0024	0.0801	0.0054	0.0104	0.0041		0.0266		0.0847	0.0855	0.1703	0.0302			0.0709	0.2790	0.3500	0.0075		17.1770	7.6890	25.0000	2337.3480	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  82.0	 9																																			16.5780				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		  82.0	 8	35.7066	1.974	 85.93	 0.16	 20.293	20.132	  1.25	 5.53	0.0519	0.0302	0.0103	0.0406	0.0451	0.0022	0.0070	0.0006	0.0738		0.0079	0.0019		0.0151		0.0965	0.0300	0.1265	0.0244			0.0570	0.2016	0.2587	0.0049		16.7000				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		 100.0	 7																																			15.6720				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		 101.0	 6	35.6080	1.938	 84.37	 0.05	 21.905	21.858	  1.36	 6.36	0.0270	0.0135	0.0014	0.0259	0.0159				0.0412		0.0039			0.0058		0.0780	0.0132	0.0912	0.0178			0.0383	0.0882	0.1265	0.0028		15.6640	7.6640	25.0000	2330.7320	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		 120.0	 5																																			14.9470				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		 150.0	 4																																			14.2310				
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		 401.0	 3	35.0132	1.047	 45.57	 0.01	 35.781	35.766	  2.14	15.53																											9.8150	7.4660	25.0000	2302.9740	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		1001.0	 2	34.7374	2.901	126.18	 0.01	 34.030	34.019	  2.23	26.95																											5.2840	7.5440	25.0000	2283.6650	
PIRATA-FR33	st004c01	B	2023-03-08T06:54:17z	 -18.851	 +8.000		1961.0	 1	34.9513	5.324	231.47	 0.02	 21.802	21.785	  1.43	24.25																											3.5470	7.7090	25.0000	2308.1700	
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		   2.0	22																																			28.9040				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		   1.0	21																																			28.8990				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		   2.0	20	34.8663	4.479	195.66	 0.01	  0.034	0.019	  0.00	 0.91																											28.8930	8.0700	25.0000	2273.8170	
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  20.0	19																																			28.8670				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  20.0	18	35.3008	4.487	195.98	 0.01	  0.020	0.005	  0.01	 0.94																											28.8670	8.0640	25.0000		
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  40.0	17																																			27.1910				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  40.0	16	35.6046	4.499	196.37	 0.02	  0.022	0.004	  0.08	 1.02																											27.2100	8.0350	25.0000		
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  50.0	15																																			23.5550				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  60.0	14																																			18.6760				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  60.0	13																																			18.6850				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  60.0	12	35.7584	3.076	134.00	 0.43	 10.754	10.325	  0.71	 3.21																											18.7120	7.7950	25.0000	2324.9600	
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  70.0	11																																			17.2410				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  80.0	10																																			15.9150				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		  80.0	 9	35.6488	2.967	129.15	 0.08	 16.477	16.401	  1.03	 5.27																											15.9120				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		 101.0	 8																																			15.6110				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		 101.0	 7																																			15.6110				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		 101.0	 6	35.6233	3.055	133.01	 0.04	 16.532	16.493	  1.06	 5.54																											15.6070	7.7490	25.0000		
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		 121.0	 5																																			15.1530				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		 151.0	 4																																			14.8260				
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		 298.0	 3	34.9473	2.218	 96.53	 0.01	 29.849	29.838	  1.80	13.05																											10.0200	7.5600	25.0000		
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		 498.0	 2	34.6223	2.979	129.59	 0.01	 32.412	32.398	  2.02	19.15																											7.1500	7.5500	25.0000	2275.2530	
PIRATA-FR33	st005c01	B	2023-03-10T22:29:42z	 -10.001	 +1.501		1962.0	 1	34.9643	5.665	246.29	 0.01	 20.110	20.099	  1.27	19.58																											3.6470	7.7190	25.0000	2283.0040	
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		   2.0	12	35.6240	4.532	197.88	 0.01	  0.005	-0.009	  0.02	 0.98	0.0047	0.0088	0.0081	0.0065	0.0065			0.0022	0.0230	0.0067	0.0049			0.0918		0.0076	0.0063	0.0139	0.0167			0.0685	0.0799	0.1484	0.0011		28.2030	8.0550	25.0000	2332.5410	
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		  20.0	11	35.6083	4.507	196.77	 0.01	  0.027	0.017	  0.01	 0.86	0.0057	0.0081	0.0067	0.0071	0.0060			0.0018	0.0249	0.0112	0.0055			0.0844		0.0110	0.0139	0.0249	0.0177			0.0719	0.0874	0.1593	0.0016		28.0740	8.0260	25.0000		
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		  37.0	10	35.6323	4.458	194.61	 0.01	  0.005	-0.003	  0.03	 0.85	0.0092	0.0072	0.0091	0.0080	0.0066				0.0285		0.0059			0.0898		0.0076	0.0089	0.0165	0.0187			0.0769	0.1010	0.1779	0.0032		28.0410	8.0440	25.0000		
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		  57.0	 9	35.8777	3.660	159.54	 0.14	  1.428	1.287	  0.19	 1.79	0.0816	0.0623	0.0201	0.0926	0.0270	0.0232	0.0189	0.0136		0.1589	0.0153		0.0089	0.0492		0.0931	0.2032	0.2962	0.0499			0.1297	0.5006	0.6303	0.0149		22.1330	7.8880	25.0000	2345.6930	
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		  76.0	 8	35.6733	2.808	122.27	 0.11	 16.226	16.120	  1.00	 4.93	0.0400	0.0233	0.0035	0.0516	0.0191	0.0038	0.0064	0.0025	0.0546		0.0052	0.0023		0.0196		0.1054	0.0490	0.1544	0.0286			0.0696	0.1631	0.2328	0.0050		16.7740				
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		  99.0	 7	35.5871	3.082	134.17	 0.03	 16.564	16.533	  1.06	 5.59	0.0234	0.0098	0.0020	0.0266		0.0096	0.0013		0.0359		0.0029			0.0056		0.0617	0.0130	0.0748	0.0160			0.0319	0.0697	0.1015	0.0020		15.3060	7.7470	25.0000		
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		 273.0	 6	35.1404	1.886	 82.11	 0.01	 28.134	28.119	  1.70	10.87																											11.7920	7.5770	25.0000		
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		 497.0	 5	34.6207	2.801	121.88	 0.01	 33.232	33.221	  2.09	19.50																											7.1060	7.5420	25.0000	2285.3820	
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		 797.0	 4	34.5429	3.317	144.30	 0.01	 34.712	34.701	  2.27	28.83																											4.9930	7.5490	25.0000		
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		1502.0	 3	34.9528	5.074	220.64	 0.01	 22.499	22.489	  1.45	18.70																											4.3340	7.6920	25.0000		
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		1980.0	 2	34.9611	5.662	246.15	 0.01	 20.118	20.106	  1.31	20.43																											3.5820	7.7250	25.0000		
PIRATA-FR33	st006c01	B	2023-03-11T03:53:37z	  -9.999	 +1.001		1979.0	 1	34.9635	5.664	246.23	 0.01	 20.041	20.029	  1.30	20.39																											3.5830	7.7250	25.0000	2313.7930	
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		   2.0	14																																			27.9670				
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		   2.0	13	35.8823	4.479	195.53	 0.01	  0.020	0.013	  0.04	 0.95																											27.9620	8.0280	25.0000	2341.3050	
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		  20.0	12	35.8752	4.476	195.37	 0.01	  0.011	0.001	  0.03	 0.94																											27.7530	8.0130	25.0000		
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		  40.0	11																																			26.0160				
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		  40.0	10	35.9966	4.339	189.33	 0.01	  0.007	-0.005	  0.05	 1.23																											26.0950	8.0090	25.0000		
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		  60.0	 9	36.0097	3.132	136.45	 0.37	  9.899	9.531	  0.63	 3.26																											20.6670	7.8540	25.0000	2346.3090	
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		  80.0	 8	35.7195	3.130	136.30	 0.07	 14.977	14.906	  0.97	 4.93																											16.5450				
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		 100.0	 7	35.6654	3.269	142.34	 0.04	 14.868	14.825	  0.98	 5.15																											15.9740	7.7800	25.0000		
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		 300.0	 6	34.9858	1.899	 82.63	 0.01	 30.287	30.274	  1.84	12.89																											10.4340	7.5510	25.0000		
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		 498.0	 5	34.6147	2.859	124.40	 0.01	 33.034	33.027	  2.10	19.53																											7.0630	7.5450	25.0000	2315.1900	
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		 797.0	 4	34.5136	3.417	148.63	 0.01	 34.400	34.392	  2.25	28.30																											5.0960	7.5480	25.0000		
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		1487.0	 3	34.9599	5.194	225.83	 0.01	 21.900	21.891	  1.42	18.10																											4.3050				
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		1487.0	 2	34.9609	5.159	224.29	 0.01	 21.896	21.888	  1.42	18.08																											4.3050	7.6980	25.0000		
PIRATA-FR33	st007c01	B	2023-03-11T09:03:44z	  -9.997	 +0.497		1979.0	 1	34.9634	5.742	249.58	 0.01	 20.042	20.030	  1.30	20.44																											3.5880	7.7230	25.0000	2286.3380	
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		   2.0	14	35.9410								0.0056	0.0057	0.0046	0.0044	0.0066				0.0118	0.0027	0.0044		0.0008	0.0827					0.0108			0.0484	0.0470	0.0954			28.0580				
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		   2.0	13		4.495	196.34																																28.0570	8.0360	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		  20.0	12	35.9848	4.493	196.08	 0.01	  0.003	-0.005	  0.07	 0.92	0.0041	0.0040	0.0039	0.0060	0.0059			0.0018	0.0228	0.0060	0.0059			0.0918		0.0095	0.0115	0.0210	0.0151			0.0624	0.0604	0.1228	0.0019		27.6620	8.0100	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		  41.0	11	36.2404	4.382	191.14	 0.01	  0.006	-0.005	  0.03	 0.91	0.0339	0.0311	0.0118	0.0242	0.0109				0.1068		0.0113	0.0029		0.0856		0.0202	0.0231	0.0433	0.0296			0.1176	0.1922	0.3098	0.0053		26.0750	8.0170	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		  51.0	10				 0.01	  0.006	-0.006	  0.03	 1.19	0.1041	0.0825	0.0150	0.1182	0.0364	0.0155	0.0146	0.0067	0.2443		0.0181	0.0073		0.0853		0.0919	0.1497	0.2416	0.0564			0.1812	0.5200	0.7012	0.0098		23.4410				
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		  60.0	 9	36.3918	3.875	168.88	 0.32	  3.660	3.342	  0.28	 1.98	0.1376	0.0834	0.0108	0.1173	0.0466	0.0167	0.0154	0.0042	0.3180		0.0226	0.0088		0.0183		0.0216	0.1118	0.1334	0.0259			0.0430	0.5916	0.6346	0.0147		23.0580	7.9560	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		  81.0	 8	35.8902	3.590	156.35	 0.12	 11.139	11.024	  0.74	 3.85	0.0525	0.0316	0.0024	0.0760	0.0162		0.0037	0.0019	0.0780		0.0068	0.0016		0.0202		0.0758	0.0244	0.1002	0.0230			0.0619	0.1858	0.2476	0.0040		17.4670				
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		  99.0	 7		3.485	151.82	 0.06	 13.205	13.147	  0.88	 4.52	0.0304	0.0183		0.0450	0.0091		0.0015	0.0009	0.0481		0.0039			0.0096		0.0726	0.0144	0.0869	0.0196			0.0478	0.1048	0.1527	0.0029		16.4590	7.8070	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		 324.0	 6	34.9363	1.774	 77.23	 0.01	 31.926	31.912	  1.90	13.52																											9.9900	7.5250	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		 497.0	 5	34.5825	3.065	133.37	 0.01	 32.994	32.980	  2.06	20.37																											6.7180	7.5480	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		 745.0	 4	34.5076	3.360	146.14	 0.02	 34.827	34.808	  2.22	27.75																											5.1710	7.5490	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		 745.0	 3	34.5085	3.351	145.75	 0.02	 34.830	34.807	  2.23	27.78																											5.1710	7.5470	25.0000		
