//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR29/data-final/CHIMIE/PIRATAFR29_CHIMIE_odv.txt
//Data treated : 2024-04-15T15:25:16
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR29/data-final/CHIMIE/PIRATAFR29_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4067.0	 4	34.8899	5.542	240.95	 0.00	 22.370	22.370	  1.44	46.76																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4069.0	 3	34.8901	5.537	240.73	 0.00	 22.550	22.550	  1.44	46.71																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4067.0	 2	34.8914	5.522	240.04	 0.00	 22.520	22.520	  1.43	46.70																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4068.0	 1	34.8895	5.528	240.30	 0.00	 22.470	22.470	  1.41	46.65																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		   2.6	19	35.6439	4.819	210.17	 0.00	  0.000	0.000	  0.02	 1.16	0.0103	0.0138	0.0082	0.0126	0.0163			0.0035	0.0362	0.0110			0.1609		0.0079	0.0139	0.0219	0.0248			0.0915	0.1437	0.2352	0.0019							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		   9.9	18				 0.00	  0.000	0.000	  0.03	 1.22																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		  20.4	17	35.6491	4.813	209.90	 0.00	  0.000	0.000	  0.02	 1.22	0.0137	0.0166	0.0110	0.0144	0.0191			0.0029	0.0457	0.0119			0.1485		0.0089	0.0173	0.0262	0.0242			0.0869	0.1689	0.2558	0.0019							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		  40.7	16	35.7685	2.681	116.76	 0.43	 14.880	14.450	  0.81	 5.17	0.0666	0.0382	0.0142	0.0505	0.0803	0.0104	0.0206	0.0049	0.0779	0.0095	0.0058		0.0376		0.0895	0.1232	0.2127	0.0341			0.0833	0.3547	0.4380	0.0031							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		  59.4	15																																							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		  59.8	14	35.6918	2.419	105.34	 0.17	 18.740	18.580	  1.08	 6.19	0.0533	0.0279	0.0095	0.0436	0.0557	0.0049	0.0124	0.0032	0.0613	0.0070	0.0036		0.0252		0.0862	0.0708	0.1570	0.0263			0.0620	0.2368	0.2988	0.0025							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		  80.3	13	35.6193	2.073	 90.27	 0.09	 21.300	21.210	  1.23	 6.88	0.0423	0.0199	0.0043	0.0352	0.0419	0.0023	0.0064	0.0023	0.0502	0.0049	0.0021		0.0156		0.0736	0.0372	0.1107	0.0204			0.0479	0.1591	0.2070	0.0021							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		 101.0	12	35.5780	2.048	 89.16	 0.06	 21.850	21.790	  1.28	 7.25	0.0327	0.0149	0.0037	0.0305	0.0306	0.0015	0.0044	0.0022	0.0422	0.0041	0.0013		0.0094		0.0666	0.0249	0.0914	0.0171			0.0382	0.1215	0.1597	0.0020							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		 201.7	11				 0.01	 25.000	25.000	  1.49	 9.45																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		 402.1	10	35.1888	0.856	 37.26	 0.00	 34.600	34.600	  1.92	14.40																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		 402.7	 9																																							
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		 604.4	 8	34.8991	1.249	 54.35	 0.01	 34.200	34.200	  2.12	27.70																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		 806.8	 7				 0.00	 37.700	37.700	  2.22	20.60																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		1008.4	 6	34.7458	2.863	124.54	 0.00	 36.900	36.900	  2.28	26.20																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		1263.1	 5				 0.00	 28.300	28.300	  1.85	25.00																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		1516.6	 4	34.9406	4.815	209.36	 0.00	 23.900	23.900	  1.57	22.60																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		1769.4	 3				 0.00	 22.000	22.000	  1.42	22.90																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		2025.6	 2	34.9536	5.422	235.73	 0.00	 21.700	21.700	  1.42	25.90																															
PIRATA Fr29	st002c01	B	2019-03-03T22:07:14z	 -20.125	 +8.999		2025.9	 1	34.9518	5.430	236.06	 0.00	 21.500	21.500	  1.42	25.50																															
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		   2.5	19	35.4904	4.504	196.73						0.0024	0.0042	0.0017	0.0034	0.0028			0.0011	0.0150	0.0041			0.0709		0.0030	0.0030	0.0061	0.0092			0.0390	0.0355	0.0745	0.0019							
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011			18																																							
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		  20.5	17	35.6594	4.581	200.00																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		  42.5	16	36.4207	4.595	200.34																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011			15																																							
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		  60.3	14	36.4870	4.419	192.56																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		  79.4	13	36.1606	4.046	176.22																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		 101.7	12	34.7520	3.689	160.76																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011			11																																							
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		 301.3	10	35.0842	1.933	 84.16																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011			 9																																							
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		 504.7	 8	34.6095	3.039	132.27																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011			 7																																							
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		1007.3	 6	34.6508	3.631	157.96																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011			 5																																							
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		1517.6	 4	34.9680	5.284	229.82																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		1767.0	 3	34.9770	5.544	241.07																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		1767.0	 2	34.9800	5.546	241.18																																				
PIRATA Fr29	st003c01	B	2019-03-06T23:56:06z	  -9.850	 +0.011		2021.0	 1	34.9692	5.643	245.37	 0.01	  0.030	0.020	  0.09	 1.00																															
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		   3.4	19	34.8639	4.471	195.37																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001			18																																							
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001			17																																							
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		  41.0	16	36.5213	4.608	200.92																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001			15																																							
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001			14																																							
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001			13																																							
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		 100.4	12	35.8422	3.745	163.15																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001			11																																							
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		 302.3	10	34.9656	2.022	 88.07																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		 302.5	 9	34.9659	2.014	 87.69																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		 504.0	 8	34.6185	2.941	128.01																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		 705.1	 7	34.5123	3.239	140.97																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		1007.9	 6	34.6298	3.549	154.41																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		1513.6	 5	34.9667	5.644	245.48																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		2021.2	 4	34.9672	5.269	229.16																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		2529.3	 3	34.9265	5.562	241.84																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		3039.2	 2	34.9074	5.526	240.25																																				
PIRATA Fr29	st005c01	B	2019-03-08T20:00:06z	  -6.001	 +0.001		4061.3	 1	34.8811	5.551	241.36																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		   3.3	11	34.2170	4.477	195.79																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018			10																																							
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		  20.1	 9	34.7326	4.553	199.04																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		  41.3	 8	36.1725	4.783	208.66																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018			 7																																							
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		  81.2	 6	35.9374	3.752	163.37																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		 100.9	 5	35.8264	3.767	163.99																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		 200.9	 4	35.3800	2.133	 92.84																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		 302.5	 3	34.9601	1.563	 68.03																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		 302.6	 2	34.9605	1.540	 67.02																																				
PIRATA Fr29	st006c01	B	2019-03-10T17:24:37z	  +0.018	 +0.018		 503.7	 1	34.6570	2.772	120.61																																				
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		   4.0	19	34.4801	4.451	194.58	 0.01	  0.000	0.000	  0.04	 1.03	0.0043	0.0045	0.0030	0.0043	0.0049				0.0163	0.0046			0.0741		0.0040	0.0062	0.0101	0.0117			0.0423	0.0552	0.0975								
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		  14.3	18				 0.01	  0.000	0.000	  0.03	 1.00																															
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		  25.0	17	34.5681	4.467	195.22	 0.01	  0.010	0.000	  0.04	 1.04	0.0038	0.0046	0.0032	0.0033	0.0049			0.0017	0.0143	0.0045			0.0961		0.0052	0.0063	0.0115	0.0141			0.0562	0.0552	0.1114								
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		  43.1	16									0.0046	0.0057	0.0057	0.0039	0.0043			0.0018	0.0167	0.0042			0.0646		0.0044	0.0080	0.0124	0.0112			0.0370	0.0622	0.0992								
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		  43.0	15	36.0410	4.580	199.80	 0.01	  0.000	0.000	  0.09	 1.44	0.0071	0.0118	0.0147	0.0072	0.0082			0.0021	0.0215	0.0076			0.0811		0.0102	0.0143	0.0245	0.0204			0.0889	0.1086	0.1975	0.0025							
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		  60.0	14	35.9761	3.634	158.37	 0.19	  4.500	4.320	  0.37	 2.84	0.0437	0.0280	0.0114	0.0467	0.0173	0.0184	0.0148	0.0062	0.0889	0.0096	0.0035		0.0491		0.0393	0.1472	0.1865	0.0296			0.0779	0.2948	0.3727	0.0084							
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		  80.8	13				 0.09	 15.100	15.000	  0.94	 5.42	0.0423	0.0232	0.0057	0.0620	0.0236	0.0030	0.0041	0.0017	0.0565	0.0062	0.0023		0.0259		0.1066	0.0410	0.1476	0.0267			0.0675	0.1818	0.2493	0.0064							
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		 101.0	12	35.6473	3.232	140.76	 0.04	 15.300	15.300	  0.98	 6.04	0.0281	0.0128		0.0412	0.0134	0.0012	0.0015	0.0012	0.0380	0.0035			0.0108		0.0973	0.0212	0.1184	0.0208			0.0516	0.1016	0.1532								
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		 202.3	11																																							
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		 306.0	10	35.9990	1.622	 70.57	 0.02	 31.000	30.900	  1.78	13.70																															
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		 304.8	 9																																							
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		 505.0	 8	34.6621	2.730	118.81																																				
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		 706.6	 7				 0.02	 34.800	34.800	  2.13	27.10																															
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		1011.0	 6	34.6433	3.598	156.53	 0.01	 32.500	32.500	  2.04	30.90																															
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		1266.4	 5																																							
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		1514.0	 4	34.9662	5.260	228.73	 0.02	 21.400	21.400	  1.32	18.70																															
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		1514.0	 3	34.9659	5.263	228.88	 0.01	 21.300	21.300	  1.33	18.70																															
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		1767.7	 2																																							
PIRATA Fr29	st007c01	B	2019-03-11T02:50:44z	  +0.000	 +1.001		2023.5	 1	34.9633	5.603	243.65	 0.02	 20.100	20.100	  1.27	22.90																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		   3.3	19	34.2797	4.485	196.09	 0.01	  0.000	0.000	  0.06	 1.02																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		  10.2	18				 0.01	  0.000	0.000	  0.06	 0.93																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		  19.8	17	34.3130	4.452	194.39	 0.01	  0.000	0.000	  0.04	 0.92																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		  41.4	16																																							
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		  41.2	15	36.0622	4.633	202.07	 0.00	  0.000	0.000	  0.09	 1.28																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		  60.2	14	36.4031	4.457	194.34	 0.02	  0.140	0.120	  0.19	 2.06																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		  80.2	13				 0.14	 14.500	14.400	  0.88	 5.16																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		 101.7	12	35.6294	3.317	144.51	 0.04	 15.100	15.100	  0.96	 5.98																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		 200.9	11																																							
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		 302.0	10	34.9570	1.586	 69.06	 0.01	 32.100	32.100	  1.82	14.30																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		 302.5	 9																																							
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		 505.2	 8	34.6418	2.772	120.61																																				
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		 705.7	 7				 0.01	 34.800	34.700	  2.15	28.20																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		1008.3	 6	34.6634	3.627	157.73	 0.01	 31.800	31.800	  2.02	30.20																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		1261.5	 5	34.8250	4.187	182.07	 0.01	 27.600	27.600	  1.75	25.70																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		1261.1	 4	34.8244	4.192	182.25	 0.01	 27.400	27.400	  1.74	25.70																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		1514.0	 3	34.9624			 0.01	 21.500	21.400	  1.36	18.80																															
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		1766.2	 2																																							
PIRATA Fr29	st008c01	B	2019-03-11T08:12:23z	  +0.001	 +0.499		2025.5	 1	34.9656	5.603	243.56	 0.01	 20.300	20.300	  1.29	22.10																															
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		   3.0	19	34.1797	4.498	196.70	 0.01	  0.010	0.000	  0.02	 1.14	0.0060	0.0065	0.0040	0.0036	0.0161			0.0026	0.0208	0.0193		0.0063	0.1221		0.0082	0.0099	0.0180	0.0177			0.0454	0.1026	0.1480								
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		  15.0	18				 0.01	  0.000	0.000	  0.02	 1.07	0.0032	0.0055	0.0045	0.0056	0.0124				0.0179	0.0148	0.0008	0.0040	0.1116		0.0038	0.0074	0.0112	0.0165			0.0435	0.0884	0.1319								
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		  25.0	17	35.1079	4.590	200.50	 0.01	  0.000	0.000	  0.04	 1.12	0.0040	0.0065	0.0055	0.0078	0.0075			0.0029	0.0269	0.0116	0.0007	0.0027	0.1461		0.0078	0.0118	0.0196	0.0212			0.0907	0.0988	0.1895	0.0019							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		  45.0	16																																							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		  45.0	15	36.6562	4.608	200.88	 0.01	  0.010	0.000	  0.15	 1.47	0.0122	0.0137	0.0086	0.0212	0.0122			0.0024	0.0605	0.0114	0.0011		0.1337		0.0273	0.0242	0.0515	0.0362			0.1865	0.1571	0.3436	0.0034							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		  61.0	14	36.2961	4.173	181.80	 0.25	  4.440	4.180	  0.38	 2.48	0.0552	0.0380	0.0086	0.0691	0.0319	0.0102	0.0089	0.0036	0.1032	0.0134	0.0022		0.0506		0.0711	0.0965	0.1676	0.0344			0.1053	0.2848	0.3901	0.0046							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		  82.8	13				 0.17	 10.400	10.200	  0.69	 4.15	0.0321	0.0200	0.0045	0.0445	0.0148	0.0048	0.0041	0.0013	0.0496	0.0070	0.0013		0.0206		0.0643	0.0320	0.0962	0.0207			0.0536	0.1337	0.1873	0.0024							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		 102.0	12	35.7482	3.790	165.03	 0.07	 11.500	11.400	  0.78	 4.74	0.0287	0.0160	0.0034	0.0395	0.0095		0.0010		0.0497	0.0063	0.0007		0.0116		0.0488	0.0178	0.0665	0.0146			0.0358	0.1070	0.1428	0.0019							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001			11																																							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		 305.0	10	34.9637	1.541	 67.09	 0.01	 32.100	32.100	  1.82	14.20																															
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001			 9																																							
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		 506.0	 8	34.6444	2.830	123.16	 0.01	 32.200	32.200	  1.91	19.50																															
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		 708.0	 7	34.5152			 0.01	 34.500	34.500	  2.13	27.50																															
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		1009.0	 6	34.6535	3.602	156.69	 0.00	 32.200	32.200	  2.00	30.50																															
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001		1008.0	 5	34.6544	3.603	156.72	 0.01	 32.200	32.200	  2.01	30.60																															
PIRATA Fr29	st009c01	B	2019-03-11T13:11:20z	  -0.002	 -0.001			 4																																							
