//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR15-EGEE3_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:17:29
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR15-EGEE3_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR15-EGEE3	11	31-May-2006T19:52:00Z	  -7.498	 -0.003	 26.600	 35.589	 35.560	 0.05	  0.226	0.273	  0.09	 1.13																											
PIRATAFR15-EGEE3	12	01-Jun-2006T03:03:00Z	  -8.750	 +0.749	 28.000	 34.851	 34.828	 0.05	  0.263	0.312	  0.09	 1.24																											
PIRATAFR15-EGEE3	13	01-Jun-2006T04:24:00Z	  -9.001	 +0.900	 28.100	 34.774	 34.749	 0.05	  0.232	0.283	  0.07	 0.86																											
PIRATAFR15-EGEE3	14	11-Jun-2006T06:23:00Z	  -8.935	 -8.937	 26.900	 36.237	 36.212	 0.06	  0.237	0.292	  0.06	 0.82																											
PIRATAFR15-EGEE3	15	11-Jun-2006T13:26:00Z	  -7.974	 -7.987	 26.700	 36.244	 36.216	 0.04	  0.160	0.195	  0.08	 0.75																											
PIRATAFR15-EGEE3	16	11-Jun-2006T21:00:00Z	  -7.001	 -7.021	 26.700	 36.135	 36.087	 0.04	  0.161	0.205	  0.09	 0.65																											
PIRATAFR15-EGEE3	17	12-Jun-2006T05:05:00Z	  -5.965	 -5.984	 26.900	 35.746	 35.724	 0.03	  0.145	0.176	  0.09	 0.58																											
PIRATAFR15-EGEE3	18	12-Jun-2006T12:40:00Z	  -5.004	 -5.021	 27.000	 35.373	 35.355	 0.04	  0.181	0.224	  0.10	 0.82																											
PIRATAFR15-EGEE3	19	12-Jun-2006T22:00:00Z	  -3.980	 -3.996	 26.100	 35.743	 35.730	 0.05	  0.200	0.254	  0.11	 0.93																											
PIRATAFR15-EGEE3	20	13-Jun-2006T05:57:00Z	  -2.983	 -2.991	 25.800	 35.745	 35.712	 0.06	  0.205	0.263	  0.13	 1.16																											
PIRATAFR15-EGEE3	21	13-Jun-2006T15:05:00Z	  -1.969	 -1.977	 26.100	 35.773	 35.752	 0.09	  0.289	0.380	  0.13	 1.01																											
PIRATAFR15-EGEE3	22	13-Jun-2006T22:43:00Z	  -0.985	 -0.990	 26.700	 35.733	 35.713	 0.06	  0.235	0.293	  0.17	 0.96																											
PIRATAFR15-EGEE3	23	15-Jun-2006T04:19:00Z	  +2.833	 +1.565	 28.500	 34.776	 34.748	 0.06	  0.192	0.254	  0.13	 1.11																											
PIRATAFR15-EGEE3	24	15-Jun-2006T06:38:00Z	  +2.836	 +1.982	 28.600	 34.673	 34.642	 0.06	  0.223	0.283	  0.08	 0.95																											
PIRATAFR15-EGEE3	25	15-Jun-2006T06:38:00Z	  +2.836	 +1.982	 28.600	 34.676	 34.650	 0.07	  0.259	0.332	  0.07	 0.89																											
PIRATAFR15-EGEE3	26	16-Jun-2006T10:42:00Z	  +2.595	 +5.552	 28.700	 34.446	 34.412			0.000																													
PIRATAFR15-EGEE3	27	23-Jun-2006T21:38:00Z	  +6.501	 -0.515	 27.400	 34.070	 34.075	 0.06	  0.195	0.254	  0.01	 1.45																											
PIRATAFR15-EGEE3	28	24-Jun-2000T02:59:00Z	  +6.552	 -1.000	 27.400	 34.151	 34.164	 0.06	  0.190	0.254	  0.01	 1.28																											
PIRATAFR15-EGEE3	29	24-Jun-2006T05:30:00Z	  +7.035	    NaN	 27.400	 34.195	 34.173	 0.06	  0.210	0.273	  0.03	 1.21																											
PIRATAFR15-EGEE3	30	29-Jun-2006T02:50:00Z	  +6.941	    NaN	 24.800	 35.781	 35.728	 0.11	  0.303	0.410	  0.18	 1.96																											
PIRATAFR15-EGEE3	31	29-Jun-2006T16:38:00Z	  +4.955	 -6.002	 25.100	 35.462	 35.419	 0.12	  0.320	0.439	  0.20	 2.18																											
PIRATAFR15-EGEE3	32	29-Jun-2006T21:37:00Z	  +3.989	 -6.000	 25.600	 35.320	 35.346	 0.11	  0.324	0.429	  0.16	 2.07																											
PIRATAFR15-EGEE3	33	01-Jul-2006T21:41:00Z	  +2.823	 -3.000	 24.900	 36.060	 36.049	 0.13	  0.400	0.527	  0.31	 2.01																											
PIRATAFR15-EGEE3	34	02-Jul-2006T02:00:00Z	  +2.831	 -2.500	 25.100	 36.066	 36.056	 0.12	  0.385	0.507	  0.23	 1.91																											
PIRATAFR15-EGEE3	35	02-Jul-2006T06:52:00Z	  +2.824	 -2.006	 25.100	 35.997	 35.984	 0.12	  0.357	0.478	  0.21	 1.80																											
PIRATAFR15-EGEE3	36	02-Jul-2006T14:39:00Z	  +2.826	 -0.990	 25.000	 36.007	 36.000	 0.12	  0.404	0.527	  0.22	 1.82																											
PIRATAFR15-EGEE3	37	02-Jul-2006T20:48:00Z	  +2.824	 -0.497	 24.900	 35.980	 35.966	 0.13	  0.451	0.585	  0.21	 1.75																											
PIRATAFR15-EGEE3	38	03-Jul-2006T00:29:00Z	  +2.832	 -0.000	 24.700	 35.908	 35.903	 0.14	  0.733	0.878	  0.22	 1.78																											
PIRATAFR15-EGEE3	39	03-Jul-2006T02:24:00Z	  +2.834	 +0.299	 24.300	 35.904	 35.854			0.000																													
PIRATAFR15-EGEE3	40	03-Jul-2006T04:25:00Z	  +2.833	 +0.495	 24.300	 35.803	 35.805	 0.18	  1.141	1.317	  0.25	 1.91																											
PIRATAFR15-EGEE3	41	03-Jul-2006T06:20:00Z	  +2.835	 +0.789	 26.800	 34.578	 34.500	 0.14	  0.394	0.537	  0.11	 1.27																											
PIRATAFR15-EGEE3	42	03-Jul-2006T09:43:00Z	  +2.829	 +0.940	 27.000	 34.520	 34.493	 0.14	  0.433	0.576	  0.08	 1.21																											
PIRATAFR15-EGEE3	43	03-Jul-2006T11:13:00Z	  +2.832	 +0.725	 26.900	 34.514	 34.469	 0.13	  0.378	0.508	  0.09	 1.30																											
PIRATAFR15-EGEE3	44	03-Jul-2006T14:59:00Z	  +2.833	 +0.487	 27.700	 34.575	 34.579	 0.14	  0.388	0.527	  0.08	 1.30																											
PIRATAFR15-EGEE3	45	03-Jul-2006T15:15:00Z	  +2.834	 +0.387	 24.400	 35.440	 35.710	 0.16	  1.026	1.190	  0.17	 1.77																											
PIRATAFR15-EGEE3	46	03-Jul-2006T17:40:00Z	  +2.831	 +0.822	 27.000	 34.485	 34.465	 0.14	  0.382	0.517	  0.13	 1.25																											
PIRATAFR15-EGEE3	47	03-Jul-2006T18:47:00Z	  +2.833	 +1.028	 27.100	 34.510	 34.521	 0.12	  0.366	0.488	  0.07	 1.11																											
PIRATAFR15-EGEE3	48	03-Jul-2006T20:03:00Z	  +2.834	 +1.272	 27.400	 34.630	 34.662	 0.12	  0.371	0.488	  0.06	 0.92																											
PIRATAFR15-EGEE3	49	03-Jul-2006T22:19:00Z	  +2.830	 +1.501	 27.500	 34.680	 34.635	 0.13	  0.390	0.517	  0.06	 0.85																											
PIRATAFR15-EGEE3	50	04-Jul-2006T01:31:00Z	  +2.833	 +1.788	 27.600	 34.557	 34.571	 0.12	  0.366	0.488	  0.06	 0.85																											
PIRATAFR15-EGEE3	51	04-Jul-2006T02:56:00Z	  +2.833	 +2.005	 27.700	 34.549	 34.561	 0.13	  0.405	0.537	  0.05	 0.97																											
PIRATAFR15-EGEE3	52	04-Jul-2006T09:55:00Z	  +2.830	 +2.515	 27.600	 34.787	 34.759	 0.12	  0.366	0.488	  0.04	 0.88																											
PIRATAFR15-EGEE3	53	04-Jul-2006T11:39:00Z	  +2.833	 +2.850	 27.700	 34.593	 34.518	 0.12	  0.383	0.508	  0.04	 1.10																											
PIRATAFR15-EGEE3	54	04-Jul-2006T12:32:00Z	  +2.836	 +3.012	 27.700	 34.438	 34.418	 0.14	  0.424	0.566	  0.02	 1.52																											
PIRATAFR15-EGEE3	55	04-Jul-2006T15:20:00Z	  +2.833	 +3.290	 27.700	 34.200	 34.014	 0.14	  0.443	0.586	  0.02	 1.50																											
PIRATAFR15-EGEE3	56	04-Jul-2006T18:04:00Z	  +2.836	 +3.524	 27.600	 33.854	 33.847	 0.16	  0.535	0.693	  0.03	 1.15																											
PIRATAFR15-EGEE3	57	04-Jul-2006T19:24:00Z	  +2.833	 +3.781	 27.700	 33.900	 34.235																																
PIRATAFR15-EGEE3	58	04-Jul-2006T21:52:00Z	  +2.832	 +3.986	 27.800	 34.300	 34.490																																
